molregno,canonical_smiles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAliphaticCarbocycles,NOCount,NumSaturatedRings,NumAromaticCarbocycles,NHOHCount,RingCount,NumRotatableBonds,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumHeteroatoms,NumAliphaticRings,FractionCSP3,HeavyAtomCount,NumAromaticRings,NumHAcceptors,NumHDonors
1480694,O=C(CSc1nc2ccccc2s1)N\N=C\3/C(=O)Nc4ccccc34,0,1,0,6,0,2,2,4,4,1,0,8,1,0.05882,25,3,6,2
1480695,N(\N=C\c1ccc(Oc2ccccc2)cc1)c3nc4ccccc4s3,0,0,0,4,0,3,1,4,5,1,0,5,0,0.00000,25,4,5,1
1480696,[O-][N+](=O)c1ccc(Oc2ccc(\C=N\Nc3nc4ccccc4s3)cc2)cc1,0,0,0,7,0,3,1,4,6,1,0,8,0,0.00000,28,4,7,1
1480697,Cc1ccc(Oc2ccc(\C=N\Nc3nc4ccccc4s3)cc2)cc1,0,0,0,4,0,3,1,4,5,1,0,5,0,0.04762,26,4,5,1
1480738,CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@@H]3CC(=O)N(C(=O)N3c4occc4)c5ccc(cc5)C#N,3,3,0,10,3,1,0,5,4,1,0,10,3,0.43478,33,2,8,0
1480698,Clc1ccc(Oc2ccc(\C=N\Nc3nc4ccccc4s3)cc2)cc1,0,0,0,4,0,3,1,4,5,1,0,6,0,0.00000,26,4,5,1
1480699,Brc1ccc(Oc2ccc(\C=N\Nc3nc4ccccc4s3)cc2)cc1,0,0,0,4,0,3,1,4,5,1,0,6,0,0.00000,26,4,5,1
1480700,Fc1ccc(Oc2ccc(\C=N\Nc3nc4ccccc4s3)cc2)cc1,0,0,0,4,0,3,1,4,5,1,0,6,0,0.00000,26,4,5,1
1480701,Cc1cc(Oc2ccc(\C=N\Nc3nc4ccccc4s3)cc2)ccc1Cl,0,0,0,4,0,3,1,4,5,1,0,6,0,0.04762,27,4,5,1
1480808,Fc1ccc(CN(Cc2cccc(c2)C3=CC(=O)c4ccccc4O3)C(=O)\C=C\c5ccccc5)cc1,0,0,0,4,0,4,0,5,7,1,0,5,0,0.06250,37,5,3,0
1480702,N(\N=C\c1ccc(Oc2ccc3ccccc3c2)cc1)c4nc5ccccc5s4,0,0,0,4,0,4,1,5,5,1,0,5,0,0.00000,29,5,5,1
