Hit,Smiles
1345846,O[C@@H](Cc1cccc(c1)c2nc3ccccc3s2)\C=C\[C@H]4CCC(=O)N4CCSCCCC(=O)O
1345886,OC(=O)C1=C(N=C(NC1=O)SCC(=O)NN2C(=Nc3ccccc3C2=O)COc4ccc(Cl)cc4Cl)c5ccccc5
1345847,O[C@@H](Cc1cccc(c1)c2oc3ccccc3c2)\C=C\[C@H]4CCC(=O)N4CCSCCCC(=O)O
1345848,O[C@@H](Cc1cccc(OCc2cccnc2)c1)\C=C\[C@H]3CCC(=O)N3CCSCCCC(=O)O
1345849,O[C@@H](Cc1cccc(OCc2ccccn2)c1)\C=C\[C@H]3CCC(=O)N3CCSCCCC(=O)O
1345850,O[C@@H](Cc1cccc(OCc2ccncc2)c1)\C=C\[C@H]3CCC(=O)N3CCSCCCC(=O)O
1345851,Cc1ccc(cc1)c2cccc(C[C@H](O)\C=C\[C@H]3CCC(=O)N3CCSc4nc(cs4)C(=O)O)c2
1345852,COc1ccc(cc1)c2cccc(C[C@H](O)\C=C\[C@H]3CCC(=O)N3CCSc4nc(cs4)C(=O)O)c2
1345887,OC(=O)C1=C(N=C(NC1=O)SCC(=O)NN2C(=Nc3ccccc3C2=O)COc4ccc(Cl)cc4Cl)c5ccc(Cl)cc5
1345853,Cc1ccc(c(C)c1)c2cccc(C[C@H](O)\C=C\[C@H]3CCC(=O)N3CCSc4nc(cs4)C(=O)O)c2
1345854,Cc1ccc(cc1C)c2cccc(C[C@H](O)\C=C\[C@H]3CCC(=O)N3CCSc4nc(cs4)C(=O)O)c2
1345855,O[C@@H](Cc1cccc(c1)c2oc3ccccc3c2)\C=C\[C@H]4CCC(=O)N4CCSc5nc(cs5)C(=O)O
1345856,O[C@@H](Cc1cccc(c1)c2oc3ccccc3n2)\C=C\[C@H]4CCC(=O)N4CCSc5nc(cs5)C(=O)O
1345857,O[C@@H](Cc1cccc(c1)c2nc3ccccc3s2)\C=C\[C@H]4CCC(=O)N4CCSc5nc(cs5)C(=O)O
1345858,O[C@@H](Cc1cccc(c1)c2nc3cc(Cl)ccc3s2)\C=C\[C@H]4CCC(=O)N4CCSc5nc(cs5)C(=O)O
1345859,Cc1ccc2oc(nc2c1)c3cccc(C[C@H](O)\C=C\[C@H]4CCC(=O)N4CCSc5nc(cs5)C(=O)O)c3
1345860,Cl.Fc1ccc(\C=C\2/CNC\C(=C/c3ccc(F)cc3)\C2=O)cc1
1345861,Cl.Brc1ccc(\C=C\2/CNC\C(=C/c3ccc(Br)cc3)\C2=O)cc1
1345862,Cl.Oc1ccc(\C=C\2/CNC\C(=C/c3ccc(O)cc3)\C2=O)cc1
1345863,Oc1ccc(\C=C\2/COC\C(=C/c3ccc(O)cc3)\C2=O)cc1
1345864,COc1ccc(\C=C\2/COC\C(=C/c3ccc(OC)cc3)\C2=O)cc1
1345865,COc1cc(\C=C\2/COC\C(=C/c3cc(OC)c(O)c(OC)c3)\C2=O)cc(OC)c1O
1345866,COc1ccc(\C=C\2/COC\C(=C/c3ccc(OC)c(OC)c3OC)\C2=O)c(OC)c1OC
1345867,Oc1ccc(\C=C\2/CSC\C(=C/c3ccc(O)cc3)\C2=O)cc1
1345868,COc1ccc(\C=C\2/CSC\C(=C/c3ccc(OC)cc3)\C2=O)cc1
1345869,COc1cc(\C=C\2/CSC\C(=C/c3cc(OC)c(O)c(OC)c3)\C2=O)cc(OC)c1O
1345870,COc1cc(\C=C\2/CSC\C(=C/c3cc(OC)c(OC)c(OC)c3)\C2=O)cc(OC)c1OC
1345871,O=C1\C(=C\c2ccccn2)\CC/C/1=C\c3ccccn3
1345872,O=C1\C(=C\c2ccncc2)\CC/C/1=C\c3ccncc3
1345873,O=C1\C(=C\c2ccccn2)\COC/C/1=C\c3ccccn3
1346660,CN1C=C(C(=O)Nc2ccc(c3ccccc3)c(c2)C(F)(F)F)C(=O)c4ccc(CO)cc14
1345874,O=C1\C(=C\c2cccnc2)\COC/C/1=C\c3cccnc3
1345875,O=C1\C(=C\c2ccncc2)\COC/C/1=C\c3ccncc3
1345876,O=C1\C(=C\c2ccccn2)\CSC/C/1=C\c3ccccn3
1345877,O=C1\C(=C\c2cccnc2)\CSC/C/1=C\c3cccnc3
1345878,O=C1\C(=C\c2ccncc2)\CSC/C/1=C\c3ccncc3
1360775,CC1=CCC(OC1=O)c2cccs2
